Wing,Flat Number,Flat Type,Flat Area (Sq. Ft.) 
C,1404,3 bhk,1340
C,1501,3 bhk,1335
C,1502,3 bhk,1335
C,1503,3 bhk,1335
C,1504,3 bhk,1335
C,1601,3 bhk,1340
C,1602,3 bhk,1340
C,1603,3 bhk,1340
C,1604,3 bhk,1340
C,1701,3 bhk,1335
C,1702,3 bhk,1335
C,1703,3 bhk,1335
C,1704,3 bhk,1335
C,1801,3 bhk,1340
C,1802,3 bhk,1340
C,1803,3 bhk,1340
C,1804,3 bhk,1340
C,1901,3 bhk,1360
C,1902,3 bhk,1360
C,1903,3 bhk,1360
C,1904,3 bhk,1360
D,101,2 bhk,985
D,102,2 bhk,985
D,103,2 bhk,1030
D,104,2 bhk,1030
D,201,2 bhk,965
D,202,2 bhk,965
D,203,2 bhk,965
D,204,2 bhk,965
D,301,2 bhk,985
D,302,2 bhk,985
D,303,2 bhk,985
D,304,2 bhk,985
D,401,2 bhk,965
D,402,2 bhk,965
D,403,2 bhk,965
D,404,2 bhk,965
D,501,2 bhk,985
D,502,2 bhk,985
D,503,2 bhk,985
D,504,2 bhk,985
D,601,2 bhk,1135
D,602,2 bhk,965
D,603,2 bhk,965
E,101,2 bhk,1030
E,102,2 bhk,1030
E,103,2 bhk,985
E,104,2 bhk,985
E,201,2 bhk,965
E,202,2 bhk,970
E,203,2 bhk,970
E,204,2 bhk,965
E,301,2 bhk,985
E,302,2 bhk,985
E,303,2 bhk,985
E,304,2 bhk,985
E,401,2 bhk,965
E,402,2 bhk,970
E,403,2 bhk,970
E,404,2 bhk,965
E,501,2 bhk,985
E,502,2 bhk,985
E,503,2 bhk,985
E,504,2 bhk,985
E,601,2 bhk,965
E,602,2 bhk,970
E,603,2 bhk,1140
Office,O-01,Office,497
Office,O-02,Office,497
Office,O-03 ,Office,405
Office,O-04 ,Office,405
Office,O-05 ,Office,405
Office,O-06 ,Office,405
Office,O-07  ,Office,405
Office,O-08  ,Office,405
Office,O-09  ,Office,405
Office,O-10  ,Office,405
Office,O-11  ,Office,405
Office,O-12  ,Office,405
Office,O-13  ,Office,405
Office,O-14  ,Office,405
Office,O-15  ,Office,405
Office,O-16  ,Office,405
Office,O-17  ,Office,405
Office,O-18  ,Office,497
Shop,S-01  ,Shop,675
Shop,S-02  ,Shop,650
Shop,S-03  ,Shop,650
Shop,S-04  ,Shop,650
Shop,S-05  ,Shop,635
Shop,S-06  ,Shop,545
Shop,S-07  ,Shop,545
Shop,S-08  ,Shop,545
Shop,S-09  ,Shop,545
Shop,S-10  ,Shop,545
Shop,S-11  ,Shop,545
Shop,S-12  ,Shop,545
Shop,S-13  ,Shop,545
Shop,S-14  ,Shop,635
Shop,S-15  ,Shop,650
Shop,S-16  ,Shop,650
Shop,S-17  ,Shop,650
Shop,S-18  ,Shop,675
